compatibility_code,section,reference,reference_prefix,reference_group,reference_family,reference_option,reference_variant,options,source_line
0001,STANDARD DYNAMIC TIBASE,31.322.001.01-2,31,322,001,01,2,"43º|29º|0,3","0,3                       43º                            29º                        31.322.001.01-2                              31.312.001.01-2"
0001,STANDARD DYNAMIC TIBASE,31.312.001.01-2,31,312,001,01,2,"43º|29º|0,3","0,3                       43º                            29º                        31.322.001.01-2                              31.312.001.01-2"
0001,STANDARD DYNAMIC TIBASE,31.322.001.02-2,31,322,001,02,2,"25º|22º|1,2","1,2                       25º                            22º                       31.322.001.02-2                               31.312.001.02-2"
0001,STANDARD DYNAMIC TIBASE,31.312.001.02-2,31,312,001,02,2,"25º|22º|1,2","1,2                       25º                            22º                       31.322.001.02-2                               31.312.001.02-2"
0001,STANDARD DYNAMIC TIBASE,31.322.001.03-2,31,322,001,03,2,25º|2,2                        25º                               -                      31.322.001.03-2                               31.312.001.03-2
0001,STANDARD DYNAMIC TIBASE,31.312.001.03-2,31,312,001,03,2,25º|2,2                        25º                               -                      31.322.001.03-2                               31.312.001.03-2
0001,STANDARD DYNAMIC TIBASE,31.322.001.04-2,31,322,001,04,2,20º|3,3                        20º                               -                      31.322.001.04-2                               31.312.001.04-2
0001,STANDARD DYNAMIC TIBASE,31.312.001.04-2,31,312,001,04,2,20º|3,3                        20º                               -                      31.322.001.04-2                               31.312.001.04-2
0001,STANDARD DYNAMIC TIBASE,31.322.001.21-2,31,322,001,21,2,"25º|20º|10º|0,3","0,3                        25º                           20º                            10º                    31.322.001.21-2                                31.312.001.21-2"
0001,STANDARD DYNAMIC TIBASE,31.312.001.21-2,31,312,001,21,2,"25º|20º|10º|0,3","0,3                        25º                           20º                            10º                    31.322.001.21-2                                31.312.001.21-2"
0001,STANDARD DYNAMIC TIBASE,31.312.001.23-2,31,312,001,23,2,25º|20º|10º|2,2                         25º                           20º                            10º                                  -                                31.312.001.23-2
0001,SCREWDRIVER,52.410.103.01-2,52,410,103,01,2,10,10                     52.410.103.01-2
0001,SCREWDRIVER,43.621.410.01-2,43,621,410,01,2,,43.621.410.01-2
0001,SCREWDRIVER,50.312.001.01-2,50,312,001,01,2,,50.312.001.01-2
0001,SCREWDRIVER,50.312.001.04-2,50,312,001,04,2,,50.312.001.04-2                               43.624.410.01-2
0001,SCREWDRIVER,43.624.410.01-2,43,624,410,01,2,,50.312.001.04-2                               43.624.410.01-2
0001,SCREWDRIVER,52.412.103.01-2,52,412,103,01,2,12,12                     52.412.103.01-2
0001,SCANBODY                                       SCANALOG,30.412.001.01-2,30,412,001,01,2,,30.412.001.01-2                              23.412.001.01-2
0001,SCANBODY                                       SCANALOG,23.412.001.01-2,23,412,001,01,2,,30.412.001.01-2                              23.412.001.01-2
0001,SCANBODY                                       SCANALOG,33.390.754.01-2,33,390,754,01,2,3,3                                                 33.390.754.01-2                                             22.612.001.01-2                                34.612.001.01-2
0001,SCANBODY                                       SCANALOG,22.612.001.01-2,22,612,001,01,2,3,3                                                 33.390.754.01-2                                             22.612.001.01-2                                34.612.001.01-2
0001,SCANBODY                                       SCANALOG,34.612.001.01-2,34,612,001,01,2,3,3                                                 33.390.754.01-2                                             22.612.001.01-2                                34.612.001.01-2
0001,SCANBODY                                       SCANALOG,33.490.754.01-2,33,490,754,01,2,25º|4,4                       25º                       33.490.754.01-2
0001,SCANBODY                                       SCANALOG,33.690.754.01-2,33,690,754,01,2,6,6                                                 33.690.754.01-2
0001,SCANBODY OP,49.414.000.01-2,49,414,000,01,2,A|6,49.414.000.01-2                                        6                         A
0001,SCANBODY OP,49.415.000.01-2,49,415,000,01,2,A|9,49.415.000.01-2                                        9                         A
0001,SCANBODY OP,49.416.000.01-2,49,416,000,01,2,A|13,49.416.000.01-2                                       13                         A
0001,SCANBODY OP,49.414.000.02-2,49,414,000,02,2,B|6,49.414.000.02-2                                        6                         B
0001,SCANBODY OP,49.415.000.02-2,49,415,000,02,2,B|9,49.415.000.02-2                                        9                         B
0001,SCANBODY OP,49.416.000.02-2,49,416,000,02,2,B|13,49.416.000.02-2                                        13                         B
0001,SCANBODY OP,54.315.001.21-2,54,315,001,21,2,,54.315.001.21-2                                                                                                                                    43.601.103.02-2
0001,SCANBODY OP,43.601.103.02-2,43,601,103,02,2,,54.315.001.21-2                                                                                                                                    43.601.103.02-2
0001,SCANBODY OP,49.414.000.03-2,49,414,000,03,2,C|6,49.414.000.03-2                                        6                         C
0001,SCANBODY OP,49.415.000.03-2,49,415,000,03,2,C|9,49.415.000.03-2                                        9                         C
0001,SCANBODY OP,49.416.000.03-2,49,416,000,03,2,C|13,49.416.000.03-2                                        13                         C
0001,SCANBODY OP,49.416.000.04-2,49,416,000,04,2,D|13,49.416.000.04-2                                        13                         D
0001,SCANBODY OP,49.416.000.05-2,49,416,000,05,2,E|13,49.416.000.05-2                                        13                         E
0001,DYNAMIC,43.618.201.01-2,43,618,201,01,2,18,18                        43.618.201.01-2
0001,DYNAMIC,41.316.084.01-2,41,316,084,01,2,24,41.316.084.01-2                                  24                        43.624.201.01-2
0001,DYNAMIC,43.624.201.01-2,43,624,201,01,2,24,41.316.084.01-2                                  24                        43.624.201.01-2
0001,DYNAMIC,43.632.201.01-2,43,632,201,01,2,32,32                        43.632.201.01-2
0001,STRAIGHT,40.316.003.01-2,40,316,003,01,2,1.20,40.316.003.01-2                           Hex. 1.20                        43.601.103.02-2
0001,STRAIGHT,43.601.103.02-2,43,601,103,02,2,1.20,40.316.003.01-2                           Hex. 1.20                        43.601.103.02-2
0001,STRAIGHT MULTI-UNIT,42.302.001.01-2,42,302,001,01,2,1,1                    42.302.001.01-2
0001,STRAIGHT MULTI-UNIT,42.302.001.02-2,42,302,001,02,2,2,2                    42.302.001.02-2
0001,STRAIGHT MULTI-UNIT,42.302.001.03-2,42,302,001,03,2,3,3                    42.302.001.03-2
0001,STRAIGHT MULTI-UNIT,42.302.001.04-2,42,302,001,04,2,4,4                    42.302.001.04-2
0002,STANDARD DYNAMIC TIBASE,31.323.002.01-2,31,323,002,01,2,"45º|29º|0,3","0,3                       45º                            29º                       31.323.002.01-2                                31.313.002.01-2"
0002,STANDARD DYNAMIC TIBASE,31.313.002.01-2,31,313,002,01,2,"45º|29º|0,3","0,3                       45º                            29º                       31.323.002.01-2                                31.313.002.01-2"
0002,STANDARD DYNAMIC TIBASE,31.323.002.02-2,31,323,002,02,2,"25º|22º|1,2","1,2                       25º                            22º                       31.323.002.02-2                               31.313.002.02-2"
0002,STANDARD DYNAMIC TIBASE,31.313.002.02-2,31,313,002,02,2,"25º|22º|1,2","1,2                       25º                            22º                       31.323.002.02-2                               31.313.002.02-2"
0002,STANDARD DYNAMIC TIBASE,31.323.002.21-2,31,323,002,21,2,"25º|20º|10º|0,3","0,3                        25º                           20º                            10º                    31.323.002.21-2                                 31.313.002.21-2"
0002,STANDARD DYNAMIC TIBASE,31.313.002.21-2,31,313,002,21,2,"25º|20º|10º|0,3","0,3                        25º                           20º                            10º                    31.323.002.21-2                                 31.313.002.21-2"
0002,SCREWDRIVER,52.408.101.01-2,52,408,101,01,2,8,8                     52.408.101.01-2
0002,SCREWDRIVER,43.621.410.01-2,43,621,410,01,2,,43.621.410.01-2
0002,SCREWDRIVER,52.410.101.01-2,52,410,101,01,2,10,10                     52.410.101.01-2                                   50.313.002.01-2
0002,SCREWDRIVER,50.313.002.01-2,50,313,002,01,2,10,10                     52.410.101.01-2                                   50.313.002.01-2
0002,SCREWDRIVER,43.624.410.01-2,43,624,410,01,2,,43.624.410.01-2
0002,SCREWDRIVER,52.412.101.01-2,52,412,101,01,2,12,12                     52.412.101.01-2
0002,SCANBODY                                       SCANALOG,30.413.002.01-2,30,413,002,01,2,,30.413.002.01-2                              23.413.002.01-2
0002,SCANBODY                                       SCANALOG,23.413.002.01-2,23,413,002,01,2,,30.413.002.01-2                              23.413.002.01-2
0002,SCANBODY                                       SCANALOG,33.390.805.01-2,33,390,805,01,2,3,3                                                 33.390.805.01-2                                             22.613.002.01-2                                34.613.002.01-2
0002,SCANBODY                                       SCANALOG,22.613.002.01-2,22,613,002,01,2,3,3                                                 33.390.805.01-2                                             22.613.002.01-2                                34.613.002.01-2
0002,SCANBODY                                       SCANALOG,34.613.002.01-2,34,613,002,01,2,3,3                                                 33.390.805.01-2                                             22.613.002.01-2                                34.613.002.01-2
0002,SCANBODY                                       SCANALOG,33.490.805.01-2,33,490,805,01,2,30º|4,4                       30º                       33.490.805.01-2
0002,SCANBODY                                       SCANALOG,33.690.805.01-2,33,690,805,01,2,6,6                                                33.690.805.01-2
0002,SCANBODY OP,49.414.000.01-2,49,414,000,01,2,A|6,49.414.000.01-2                                        6                         A
0002,SCANBODY OP,49.415.000.01-2,49,415,000,01,2,A|9,49.415.000.01-2                                        9                         A
0002,SCANBODY OP,49.416.000.01-2,49,416,000,01,2,A|13,49.416.000.01-2                                       13                         A
0002,SCANBODY OP,49.414.000.02-2,49,414,000,02,2,B|6,49.414.000.02-2                                        6                         B
0002,SCANBODY OP,49.415.000.02-2,49,415,000,02,2,B|9,49.415.000.02-2                                        9                         B
0002,SCANBODY OP,49.416.000.02-2,49,416,000,02,2,B|13,49.416.000.02-2                                        13                         B
0002,SCANBODY OP,54.315.002.21-2,54,315,002,21,2,,54.315.002.21-2                                                                                                                                    43.601.103.02-2
0002,SCANBODY OP,43.601.103.02-2,43,601,103,02,2,,54.315.002.21-2                                                                                                                                    43.601.103.02-2
0002,SCANBODY OP,49.414.000.03-2,49,414,000,03,2,C|6,49.414.000.03-2                                        6                         C
0002,SCANBODY OP,49.415.000.03-2,49,415,000,03,2,C|9,49.415.000.03-2                                        9                         C
