section,name,detail,reference,price_eur
Dynamic scanbody system,Scanbody OP (one piece),,54.315.xxx.21-2,35.5
Dynamic scanbody system,Scanbody Reference,Scanbody Reference,54.322.xxx.31-2,21.2
Dynamic scanbody system,Pin 6mm (pack 5) A/B/C,Pin 6mm (pack 5) A/B/C,49.414.000.0x-2,29.2
Dynamic scanbody system,Pin 9mm (pack 5) A/B/C,Pin 9mm (pack 5) A/B/C,49.415.000.0x-2,35.0
Dynamic scanbody system,Pin 13mm (pack 5) A/B/C/D/E,Pin 13mm (pack 5) A/B/C/D/E,49.416.000.0x-2,43.5
Dynamic scanbody system,Dynamic scanbody,Dynamic scanbody,52.xxx.xxx.xx-2,30.0
Dynamic scanbody system,Dynamic scanbody adaptor,Internal connection,50.xxx.xxx.xx-2,35.0
Dynamic scanbody system,Dynamic scanbody adaptor,Extrenal connection,50.313.024.01-2,13.0
Dynamic scanbody system,Dynamic scanbody adaptor,Extrenal connection,50.312.023.01-2,13.0
Dynamic scanbody system,Dynamic scanbody adaptor,Extrenal connection,50.313.025.01-2,13.0
Dynamic scanbody system,Dynamic scanbody adaptor,Extrenal connection,50.313.074.01-2,13.0
Dynamic scanbody system,Dynamic scanbody adaptor,Extrenal connection,50.313.025.02-2,13.0
Dynamic scanbody system,Dynamic scanbody adaptor,Extrenal connection,50.313.008.01-2,13.0
Dynamic scanbody system,Dynamic scanbody adaptor,Extrenal connection,50.312.009.01-2,13.0
Dynamic scanbody system,Screwdiver DS adaptor,Screwdiver DS adaptor,43.624.410.01-2,35.0
Dynamic scanbody system,Screwdiver DS adaptor,Screwdiver DS adaptor,43.620.411.01-2,35.0
Dynamic scanbody system,Screwdiver DS adaptor with handle,Screwdiver DS adaptor with handle,43.621.410.01-2,50.0
Dynamic scanbody system,Screwdiver DS adaptor with handle,Screwdiver DS adaptor with handle,43.621.415.01-2,50.0
Dynamic scanbody system,Dynamic Milling Tool (DMTone),Dynamic Milling Tool (DMTone),33.xxx.xxx.xx-2,95.0
Dynamic scanbody system,Digital analog,Digital analog,34.xxx.xxx.xx-2,20.0
Dynamic scanbody system,Scanalog,Scanalog,23.xxx.xxx.01-2,19.0
CAPS system,"CAPS 3,8mm S","CAPS 3,8mm S",49.418.000.01-2,13.5
CAPS system,CAPS 6mm S,CAPS 6mm S,49.419.000.01-2,15.0
CAPS system,CAPS 8mm S,CAPS 8mm S,49.420.000.01-2,18.0
CAPS system,CAP 3.8mm W,CAP 3.8mm W,49.418.000.02-2,16.5
CAPS system,CAP 6mm W,CAP 6mm W,49.419.000.02-2,18.5
CAPS system,CAP 8mm W,CAP 8mm W,49.420.000.02-2,20.5
TITANIUM BASE (screw included),Dynamic Titanium Base,Non-engaging / Engaging,31.xxx.xxx.01-2,28.0
TITANIUM BASE (screw included),Dynamic 3Tibase,Non-engaging / Engaging,31.xxx.xxx.21-2,30.0
TITANIUM BASE (screw included),Dynamic Tibases (double gingival height),Non-engaging / Engaging,31.xxx.xxx.02-2,30.0
TITANIUM BASE (screw included),Dynamic Tibases (double gingival height),Non-engaging / Engaging,31.xxx.xxx.03-2,30.0
TITANIUM BASE (screw included),Dynamic Tibases (double gingival height),Non-engaging / Engaging,31.xxx.xxx.04-2,30.0
TITANIUM BASE (screw included),Dynamic Tibases (double gingival height),Non-engaging / Engaging,31.xxx.xxx.05-2,30.0
TITANIUM BASE (screw included),Straight 3Tibase,Non-engaging / Engaging,35.xxx.xxx.21-2,28.0
TITANIUM BASE (screw included),Extraoral scanbody,Extraoral scanbody,30.xxx.xxx.xx-2,29.0
Screws,Dynamic screws,Dynamic screws,41.xxx.xxx.xx-2,12.0
Screws,Straight screws,Straight screws,40.xxx.xxx.xx-2,11.0
Screwdrivers,Dynamic Screwdriver,Dynamic Screwdriver,43.618.201.01-2,36.0
Screwdrivers,Dynamic Screwdriver,Dynamic Screwdriver,43.624.201.01-2,36.0
Screwdrivers,Dynamic Screwdriver,Dynamic Screwdriver,43.632.201.01-2,36.0
Screwdrivers,Dynamic screw transfer,,49.413.000.01-2,23.0
Screwdrivers,Screwdrivers for straight screws**,Screwdrivers for straight screws**,43.601.103.02-2,27.0
Screwdrivers,Screwdrivers for straight screws**,Screwdrivers for straight screws**,43.601.103.02-2,27.0
Screwdrivers,Screwdrivers for straight screws**,Screwdrivers for straight screws**,43.601.104.01-2,27.0
Screwdrivers,Screwdrivers for straight screws**,Screwdrivers for straight screws**,43.601.102.01-2,27.0
Screwdrivers,Screwdrivers for straight screws**,Screwdrivers for straight screws**,43.601.107.01-2,27.0
Screwdrivers,**CLDESMN 1.27 and CLDESMNUG,**CLDESMN 1.27 and CLDESMNUG,43.625.105.01-2,35.0
Screwdrivers,**CLDESMN 1.27 and CLDESMNUG,**CLDESMN 1.27 and CLDESMNUG,43.625.108.01-2,35.0
Accessories,Lab handle (MNLB),Lab handle (MNLB),49.601.000.03-2,32.5
Accessories,Clinical handle (MNCL80),Clinical handle (MNCL80),49.601.000.01-2,28.5
Accessories,Square wrench adaptor (MNADPCA),Square wrench adaptor (MNADPCA),49.604.000.05-2,30.0
Accessories,Straumann wrench adaptor (SPACC-STR),Straumann wrench adaptor (SPACC-STR),49.604.000.07-2,50.5
Accessories,Nobel wrench adaptor,Nobel wrench adaptor,49.604.000.08-2,50.5
Accessories,Torque wrench (CCUNI),Torque wrench (CCUNI),11.990.990.07-2,180.0
Accessories,Digital analog positioner,Digital analog positioner,49.309.000.01-2,46.0
Multi-unit system,DAS Angled Multi-unit 20º,DAS Angled Multi-unit 20º,48.312.xxx.0x-2,77.0
Multi-unit system,DAS Multi-Unit ANG insertion tool,DAS Multi-Unit ANG insertion tool,49.422.000.01-2,35.0
Multi-unit system,DAS Straight Multi-Unit,DAS Straight Multi-Unit,42.30x.xxx.xx-2,29.0
Multi-unit system,"DAS Multi-Unit Non-Engaging Dynamic Ti-Base, G0.5","DAS Multi-Unit Non-Engaging Dynamic Ti-Base, G0.5",31.322.209.01-2,28.0
Multi-unit system,"DAS Multi-Unit Engaging Dynamic Ti-Base, G0.5","DAS Multi-Unit Engaging Dynamic Ti-Base, G0.5",31.312.209.01-2,28.0
Multi-unit system,"DAS Multi-Unit Dynamic Screw, M2 L4mm 25N·cm","DAS Multi-Unit Dynamic Screw, M2 L4mm 25N·cm",41.320.040.01-2,12.0
Multi-unit system,"DAS Multi-Unit Provisional Dynamic Screw, M2 L5mm 25N·cm","DAS Multi-Unit Provisional Dynamic Screw, M2 L5mm 25N·cm",41.320.050.02-2,12.0
Multi-unit system,DAS Multi-Unit Straight Screw Hex.1.20 M2 L4mm 25N·cm,DAS Multi-Unit Straight Screw Hex.1.20 M2 L4mm 25N·cm,40.320.003.06-2,11.0
Multi-unit system,"DAS Multi-Unit Scanbody H4.5 with screw (Hex.1,20) 5N·cm","DAS Multi-Unit Scanbody H4.5 with screw (Hex.1,20) 5N·cm",53.412.209.01-2,17.55
Multi-unit system,"DAS Multi-Unit Scanbody H8, non-engaging, with screw (Hex.1,20) 5N·cm","DAS Multi-Unit Scanbody H8, non-engaging, with screw (Hex.1,20) 5N·cm",53.422.209.02-2,17.55
