name,description,category,price,stock_quantity,reference,reference_num,ean13,price_match_type,price_reference,retail_name,compatibility_code,ref_segment_1,ref_segment_2,ref_segment_3,ref_segment_4,ref_check_digit,options,generated_description,system_categories,active_system_categories,primary_system_category,is_active_from_categories
Nobel Biocare wrench adaptor,,ACCESSORIES,77.25,0,49.604.000.08-2,49604000082,843567350088,exact,49.604.000.08-2,Nobel wrench adaptor,000,49,604,000,08,2,"A|6;A|9;A|13;B|6;B|9;B|13;C|6;C|9;C|13;D|13;E|13;3,8","Referenčný kód: 49.604.000.08-2 | Parametre: A|6;A|9;A|13;B|6;B|9;B|13;C|6;C|9;C|13;D|13;E|13;3,8",,,,0
Straumann wrench adaptor,,ACCESSORIES,77.25,0,49.604.000.07-2,49604000072,843656873585,exact,49.604.000.07-2,Straumann wrench adaptor (SPACC-STR),000,49,604,000,07,2,"A|6;A|9;A|13;B|6;B|9;B|13;C|6;C|9;C|13;D|13;E|13;3,8","Referenčný kód: 49.604.000.07-2 | Parametre: A|6;A|9;A|13;B|6;B|9;B|13;C|6;C|9;C|13;D|13;E|13;3,8",,,,0
Torque wrench Adaptor,,ACCESSORIES,43.0,0,49.604.000.05-2,49604000052,843656873584,exact,49.604.000.05-2,Square wrench adaptor (MNADPCA),000,49,604,000,05,2,"A|6;A|9;A|13;B|6;B|9;B|13;C|6;C|9;C|13;D|13;E|13;3,8","Referenčný kód: 49.604.000.05-2 | Parametre: A|6;A|9;A|13;B|6;B|9;B|13;C|6;C|9;C|13;D|13;E|13;3,8",,,,0
Adaptor extractor,,,,0,49.604.000.04-2,49604000042,843656873293,none,,,000,49,604,000,04,2,"A|6;A|9;A|13;B|6;B|9;B|13;C|6;C|9;C|13;D|13;E|13;3,8","Referenčný kód: 49.604.000.04-2 | Parametre: A|6;A|9;A|13;B|6;B|9;B|13;C|6;C|9;C|13;D|13;E|13;3,8",,,,0
Adaptor IO DA. Comp.0101. 5N·cm,,,,0,50.313.101.01-2,50313101012,843567350345,none,,,101,50,313,101,01,2,"8;10;12;45º|30º|0,5;9;3","Referenčný kód: 50.313.101.01-2 | Systém: STRAUMANN | Parametre: 8;10;12;45º|30º|0,5;9;3",STRAUMANN,STRAUMANN,STRAUMANN,1
Adaptor IO DAS Multi-Unit. 5N·cm,,MULTI-UNIT,22.0,0,50.312.209.01-2,50312209012,843656873881,exact,50.312.209.01-2,Adaptor IO DAS Multi-Unit. 5N·cm,209,50,312,209,01,2,,Referenčný kód: 50.312.209.01-2,,,,0
Adaptor IO G2 HA. Comp.0022. 5N·cm,,,,0,50.313.022.02-2,50313022022,,none,,,022,50,313,022,02,2,"40º|19º|1,3;25º|14º|2;20º|30º|3;15º|30º|4;15º|20º;30º|25º|10º|1,3;20º|10º|3;3;1;2;4;1,5|2,9|3,5|5,4","Referenčný kód: 50.313.022.02-2 | Systém: ALFA-GATE | Parametre: 40º|19º|1,3;25º|14º|2;20º|30º|3;15º|30º|4;15º|20º;30º|25º|10º|1,3;20º|10º|3;3;1;2;4;1,5|2,9|3,5|5,4",ADIN;ALFA-GATE;HAHN IMPLANT (GLIDEWELL);HI-TEC;IMPLANT DIRECT;JDENTALCARE;NOBEL BIOCARE;REFLECT;YOUSE IMPLANTS (SWEDEN & MARTINA GROUP),ALFA-GATE;IMPLANT DIRECT;JDENTALCARE;NOBEL BIOCARE,ALFA-GATE,1
Adaptor IO G2 SA. Comp.0033. 5N·cm,,,,0,50.312.033.02-2,50312033022,,none,,,033,50,312,033,02,2,"38º|18º|1,3;20º|14º|2;15º|25º|3;15º|25º|4;25º|20º|1,3;25º|20º|15º|3;3;1;2;4;2,5|3,9;3,5|4,9","Referenčný kód: 50.312.033.02-2 | Systém: BIOCONCEPT | Parametre: 38º|18º|1,3;20º|14º|2;15º|25º|3;15º|25º|4;25º|20º|1,3;25º|20º|15º|3;3;1;2;4;2,5|3,9;3,5|4,9",BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,BIOCONCEPT,1
Adaptor IO G2 SB. Comp.0035. 5N·cm,,,,0,50.313.035.02-2,50313035022,,none,,,035,50,313,035,02,2,"39º|18º|1,1;20º|14º|2;15º|30º|3;15º|30º|4;25º|20º|10º|1,1;20º|15º|10º|3;12;3;1;2;4;2,5|3,9","Referenčný kód: 50.313.035.02-2 | Systém: BIOCONCEPT | Parametre: 39º|18º|1,1;20º|14º|2;15º|30º|3;15º|30º|4;25º|20º|10º|1,1;20º|15º|10º|3;12;3;1;2;4;2,5|3,9",BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,BIOCONCEPT,1
Adaptor IO G3 HA. Comp.0017. 5N·cm,,,,0,50.313.017.04-2,50313017042,843567350503,none,,,017,50,313,017,04,2,"45º|24º|0,7;25º|15º|1,5;30º|25º|15º|0,7;10;3;2","Referenčný kód: 50.313.017.04-2 | Systém: MIS | Parametre: 45º|24º|0,7;25º|15º|1,5;30º|25º|15º|0,7;10;3;2",MIS,MIS,MIS,1
