name,description,category,price,stock_quantity,reference,image_filename
Scanbody OP (one piece),,Dynamic scanbody system,50.0,0,54.315.xxx.21-2,54315186212.jpg
Scanbody Reference,,Dynamic scanbody system,30.0,0,54.322.xxx.31-2,54322209312.jpg
Pin 6mm (pack 5) A/B/C,,Dynamic scanbody system,40.5,0,49.414.000.0x-2,49414000012.jpg
Pin 9mm (pack 5) A/B/C,,Dynamic scanbody system,48.0,0,49.415.000.0x-2,49415000012.jpg
Pin 13mm (pack 5) A/B/C/D/E,,Dynamic scanbody system,59.0,0,49.416.000.0x-2,49416000032.png
Dynamic scanbody,,Dynamic scanbody system,75.0,0,52.xxx.xxx.xx-2,52408110012.jpg
Dynamic scanbody adaptor,Internal connection,Dynamic scanbody system,52.0,0,50.xxx.xxx.xx-2,50312209012.jpg
Screwdiver DS adaptor,,Dynamic scanbody system,45.0,0,43.624.410.01-2,43624410012.png
Screwdiver DS adaptor with handle,,Dynamic scanbody system,72.0,0,43.621.410.01-2,43621410012.jpg
Dynamic Milling Tool (DMTone),,Dynamic scanbody system,135.0,0,33.xxx.xxx.xx-2,33390716012.jpg
Digital analog,,Dynamic scanbody system,29.0,0,34.xxx.xxx.xx-2,34312209022.jpg
Scanalog,,Dynamic scanbody system,29.0,0,23.xxx.xxx.01-2,23412209012.jpg
"CAPS 3,8mm S",,CAPS system,19.0,0,49.418.000.01-2,49418000012.jpg
CAPS 6mm S,,CAPS system,21.5,0,49.419.000.01-2,49419000012.jpg
CAPS 8mm S,,CAPS system,24.0,0,49.420.000.01-2,49420000012.jpg
CAP 3.8mm W,,CAPS system,23.0,0,49.418.000.02-2,49418000022.png
CAP 6mm W,,CAPS system,26.0,0,49.419.000.02-2,49419000022.jpg
CAP 8mm W,,CAPS system,29.0,0,49.420.000.02-2,49420000022.png
Dynamic Titanium Base,Non-engaging / Engaging,TITANIUM BASE (screw included),42.0,0,31.xxx.xxx.01-2,31312209012.jpg
Dynamic 3Tibase,Non-engaging / Engaging,TITANIUM BASE (screw included),44.0,0,31.xxx.xxx.21-2,31322209212.jpg
Straight 3Tibase,Non-engaging / Engaging,TITANIUM BASE (screw included),42.0,0,35.xxx.xxx.21-2,35322209212.jpg
Extraoral scanbody,,TITANIUM BASE (screw included),45.0,0,30.xxx.xxx.xx-2,30413005012.jpg
Dynamic screws,,SCREWS,18.9,0,41.xxx.xxx.xx-2,41320050022.jpg
Straight screws,,SCREWS,16.9,0,40.xxx.xxx.xx-2,40320003062.jpg
Dynamic Screwdriver,,SCREWDRIVERS,60.1,0,43.618.201.01-2,43618201012.jpg
Dynamic screw transfer,,SCREWDRIVERS,31.5,0,49.413.000.01-2,49413000012.jpg
Screwdrivers for straight screws**,,SCREWDRIVERS,38.24,0,43.601.103.02-2,43601103022.jpg
**CLDESMN 1.27 and CLDESMNUG,,SCREWDRIVERS,50.0,0,43.625.105.01-2,43625105012.jpg
Lab analog,,ACCESSORIES,13.0,0,22.6xx.xxx.01-2,22612209012.jpg
Lab handle (MNLB),,ACCESSORIES,45.0,0,49.601.000.03-2,49601000032.jpg
Clinical handle (MNCL80),,ACCESSORIES,40.0,0,49.601.000.01-2,49601000012.jpg
Square wrench adaptor (MNADPCA),,ACCESSORIES,43.0,0,49.604.000.05-2,49604000052.jpg
Straumann wrench adaptor (SPACC-STR),,ACCESSORIES,77.25,0,49.604.000.07-2,49604000072.jpg
Nobel wrench adaptor,,ACCESSORIES,77.25,0,49.604.000.08-2,49604000082.jpg
Torque wrench (CCUNI),,ACCESSORIES,260.0,0,11.990.990.07-2,11990990072.jpg
Digital analog positioner,,ACCESSORIES,64.0,0,49.309.000.01-2,49309000012.png
DAS Angled Multi-unit 20º,,MULTI-UNIT,102.0,0,48.312.xxx.0x-2,48312004022.png
DAS Multi-Unit ANG insertion tool,,MULTI-UNIT,45.0,0,49.422.000.01-2,49422000012.jpg
DAS Straight Multi-Unit,,MULTI-UNIT,48.0,0,42.30x.xxx.xx-2,42302011022.jpg
"DAS Multi-Unit Non-Engaging Dynamic Ti-Base, G0.5",,MULTI-UNIT,42.0,0,31.322.209.01-2,31322209012.jpg
"DAS Multi-Unit Engaging Dynamic Ti-Base, G0.5",,MULTI-UNIT,42.0,0,31.312.209.01-2,31312209012.jpg
"DAS Multi-Unit Dynamic Screw, M2 L4mm 25N·cm",,MULTI-UNIT,18.9,0,41.320.040.01-2,41320040012.jpg
"DAS Multi-Unit Provisional Dynamic Screw, M2 L5mm 25N·cm",,MULTI-UNIT,18.9,0,41.320.050.02-2,41320050022.jpg
DAS Multi-Unit Straight Screw Hex.1.20 M2 L4mm 25N·cm,,MULTI-UNIT,18.9,0,40.320.003.06-2,40320003062.jpg
"DAS Multi-Unit Scanbody H4.5 with screw (Hex.1,20) 5N·cm",,MULTI-UNIT,32.9,0,53.412.209.01-2,53412209012.jpg
"DAS Multi-Unit Scanbody H8, non-engaging, with screw (Hex.1,20) 5N·cm",,MULTI-UNIT,32.9,0,53.422.209.02-2,53422209022.jpg
IO DAS Multi-Unit H8,,MULTI-UNIT,75.0,0,52.408.137.01-2,52408137012.jpg
Adaptor IO DAS Multi-Unit. 5N·cm,,MULTI-UNIT,22.0,0,50.312.209.01-2,50312209012.jpg
DAS Multi-Unit ScAnalog for impression post,,MULTI-UNIT,29.0,0,23.412.209.01-2,23412209012.jpg
DAS Multi-Unit Digital Analog with screw,,MULTI-UNIT,29.0,0,34.312.209.01-2,34312209012.jpg
"DAS Engaging Multi-Unit Impression Copy Pick up with screw Hex.1,20",,MULTI-UNIT,23.0,0,29.301.000.10-2,
"DAS Non-Engaging Multi-Unit Impression Copy Pick up with screw Hex.1,21",,MULTI-UNIT,23.0,0,29.301.000.11-2,
"Regular DAS Multi-Unit Healing cap. Hex1.20, 10N·cm",,MULTI-UNIT,19.0,0,40.320.003.88-2,40320003882.jpg
"Wide DAS Multi-Unit Healing cap. Hex1.20, 10N·cm",,MULTI-UNIT,19.0,0,40.320.003.89-2,40320003892.jpg
DAS Multi-Unit Screwdriver. L21mm,,MULTI-UNIT,38.0,0,43.321.316.01-2,43321316012.png
