reference,reference_num,name,ean13
22.612.109.01-2,22612109012,Scanbody H:3mm,
22.613.007.01-2,22613007012,Scanbody Scanalog H:3mm,
22.614.059.01-2,22614059012,Scanbody H:3mm,
22.614.066.01-2,22614066012,Analog 22.614.066.01-2,
22.614.080.01-2,22614080012,Scanbody H:3mm,
22.615.129.01-2,22615129012,Scanbody H:3mm,
31.311.090.03-2,31311090032,Standard Dynamic Tibase αS:20º GH:3mm,
31.312.001.23-2,31312001232,Dynamic 3tibase αS(CH=5mm):25º αS(CH=7mm):20º αS(CH=9mm):10º GH:2mm,
31.312.075.02-2,31312075022,Standard Dynamic Tibase αS:20º αC:15º GH:2mm,
31.312.075.03-2,31312075032,Standard Dynamic Tibase αS:20º GH:3mm,
31.312.075.04-2,31312075042,Standard Dynamic Tibase αS:15º GH:4mm,
31.312.110.01-2,31312110012,Standard Dynamic Tibase αS:45º αC:30º GH:0.4mm,
31.313.261.01-2,31313261012,Standard Dynamic Tibase αS:40º GH:0.5mm,
31.314.262.01-2,31314262012,Standard Dynamic Tibase αS:40º GH:0.5mm,
31.321.091.03-2,31321091032,Standard Dynamic Tibase αS:20º GH:3mm,
31.322.181.01-2,31322181012,Standard Dynamic Tibase αS:45º GH:0.4mm,
31.322.251.01-2,31322251012,Standard Dynamic Tibase αS:40º αC:25º GH:1mm,
31.323.037.21-2,31323037212,Dynamic 3tibase αS(CH=5mm):30º αS(CH=7mm):25º αS(CH=9mm):15º GH:0.6mm,
31.323.045.02-2,31323045022,Standard Dynamic Tibase αS:25º GH:2mm,
31.323.131.21-2,31323131212,Dynamic 3tibase αS(CH=5mm):30º αS(CH=7mm):20º αS(CH=9mm):15º GH:0.5mm,
31.323.261.01-2,31323261012,Standard Dynamic Tibase αS:40º GH:0.5mm,
31.324.262.01-2,31324262012,Standard Dynamic Tibase αS:40º GH:0.5mm,
33.615.604.01-2,33615604012,Scanbody H:6mm,
33.635.856.01-2,33635856012,Scanbody Scanalog H:6mm,
34.610.260.01-2,34610260012,Scanbody Scanalog H:3mm,
34.612.251.01-2,34612251012,Analog 34.612.251.01-2,
34.613.223.01-2,34613223012,Scanbody H:3mm,
34.613.242.01-2,34613242012,Scanbody H:3mm,
