reference,reference_num,name,ean13
49.604.000.08-2,49604000082,Nobel Biocare wrench adaptor,843567350088
49.604.000.07-2,49604000072,Straumann wrench adaptor,843656873585
49.604.000.05-2,49604000052,Torque wrench Adaptor,843656873584
49.604.000.04-2,49604000042,Adaptor extractor,843656873293
50.313.101.01-2,50313101012,Adaptor IO DA. Comp.0101. 5N·cm,843567350345
50.312.209.01-2,50312209012,Adaptor IO DAS Multi-Unit. 5N·cm,843656873881
50.313.022.02-2,50313022022,Adaptor IO G2 HA. Comp.0022. 5N·cm,
50.312.033.02-2,50312033022,Adaptor IO G2 SA. Comp.0033. 5N·cm,
50.313.035.02-2,50313035022,Adaptor IO G2 SB. Comp.0035. 5N·cm,
50.313.017.04-2,50313017042,Adaptor IO G3 HA. Comp.0017. 5N·cm,843567350503
50.313.022.03-2,50313022032,Adaptor IO G3 HA. Comp.0022. 5N·cm,843656873986
50.313.030.03-2,50313030032,Adaptor IO G3 HA. Comp.0030. 5N·cm,843656873353
50.312.040.03-2,50312040032,Adaptor IO G3 HA. Comp.0040. 5N·cm,843656873298
50.313.186.04-2,50313186042,Adaptor IO G3 HA. Comp.0186. 5N·cm,843656873930
50.314.005.03-2,50314005032,Adaptor IO G3 HB. Comp.0005. 5N·cm,843567350129
50.313.041.03-2,50313041032,Adaptor IO G3 HB. Comp.0041. 5N·cm,843656873581
50.314.052.04-2,50314052042,Adaptor IO G3 HB. Comp.0052. 5N·cm,843567351226
50.314.091.03-2,50314091032,Adaptor IO G3 HB. Comp.0091. 5N·cm,843567350621
50.312.001.04-2,50312001042,Adaptor IO G3 HC. Comp.0001. 5N·cm,843656873451
50.313.004.03-2,50313004032,Adaptor IO G3 HC. Comp.0004. 5N·cm,843656873910
50.312.021.03-2,50312021032,Adaptor IO G3 HC. Comp.0021. 5N·cm,843656873879
50.312.029.03-2,50312029032,Adaptor IO G3 HC. Comp.0029. 5N·cm,843567350137
50.310.207.03-2,50310207032,"Adaptor IO G3 HC. Comp.0207, 0208, 0260, 0261, 0262. 5N·cm",843656873527
50.313.015.03-2,50313015032,Adaptor IO G3 HD. Comp.0015. 5N·cm,843656873540
50.310.152.03-2,50310152032,Adaptor IO G3 HD. Comp.0152. 5N·cm,843567350469
50.312.006.03-2,50312006032,Adaptor IO G3 HE. Comp.0006. 5N·cm,843656873456
50.312.075.03-2,50312075032,Adaptor IO G3 HE. Comp.0075. 5N·cm,843567350476
50.312.050.04-2,50312050042,Adaptor IO G3 HI. Comp.0050. 5N·cm,843567350304
50.310.110.04-2,50310110042,"Adaptor IO G3 HI. Comp.0110, 0111. 5N·cm",843567350075
50.313.167.03-2,50313167032,Adaptor IO G3 HI. Comp.0167. 5N·cm,843567350343
50.312.169.04-2,50312169042,Adaptor IO G3 HI. Comp.0169. 5N·cm,843567350215
50.313.051.04-2,50313051042,Adaptor IO G3 HJ. Comp.0051. 5N·cm,843567350312
50.315.092.03-2,50315092032,Adaptor IO G3 HT. Comp.0092. 5N·cm,843567350685
