section,name,detail,reference,price_eur
Dynamic scanbody system,Scanbody OP (one piece),,54.315.xxx.21-2,50.0
Dynamic scanbody system,Scanbody Reference,,54.322.xxx.31-2,30.0
Dynamic scanbody system,Pin 6mm (pack 5) A/B/C,,49.414.000.0x-2,40.5
Dynamic scanbody system,Pin 9mm (pack 5) A/B/C,,49.415.000.0x-2,48.0
Dynamic scanbody system,Pin 13mm (pack 5) A/B/C/D/E,,49.416.000.0x-2,59.0
Dynamic scanbody system,Dynamic scanbody,,52.xxx.xxx.xx-2,75.0
Dynamic scanbody system,Dynamic scanbody adaptor,Internal connection,50.xxx.xxx.xx-2,52.0
Dynamic scanbody system,,Extrenal connection,50.313.024.01-2,22.0
Dynamic scanbody system,Screwdiver DS adaptor,,43.624.410.01-2,45.0
Dynamic scanbody system,Screwdiver DS adaptor with handle,,43.621.410.01-2,72.0
Dynamic scanbody system,Dynamic Milling Tool (DMTone),,33.xxx.xxx.xx-2,135.0
Dynamic scanbody system,Digital analog,,34.xxx.xxx.xx-2,29.0
Dynamic scanbody system,Scanalog,,23.xxx.xxx.01-2,29.0
CAPS system,"CAPS 3,8mm S",,49.418.000.01-2,19.0
CAPS system,CAPS 6mm S,,49.419.000.01-2,21.5
CAPS system,CAPS 8mm S,,49.420.000.01-2,24.0
CAPS system,CAP 3.8mm W,,49.418.000.02-2,23.0
CAPS system,CAP 6mm W,,49.419.000.02-2,26.0
CAPS system,CAP 8mm W,,49.420.000.02-2,29.0
TITANIUM BASE (screw included),Dynamic Titanium Base,Non-engaging / Engaging,31.xxx.xxx.01-2,42.0
TITANIUM BASE (screw included),Dynamic 3Tibase,Non-engaging / Engaging,31.xxx.xxx.21-2,44.0
TITANIUM BASE (screw included),Dynamic Tibases (double gingival height),Non-engaging / Engaging,31.xxx.xxx.02-2,
TITANIUM BASE (screw included),Straight 3Tibase,Non-engaging / Engaging,35.xxx.xxx.21-2,42.0
TITANIUM BASE (screw included),Extraoral scanbody,,30.xxx.xxx.xx-2,45.0
SCREWS,Dynamic screws,,41.xxx.xxx.xx-2,18.9
SCREWS,Straight screws,,40.xxx.xxx.xx-2,16.9
SCREWDRIVERS,Dynamic Screwdriver,,43.618.201.01-2,60.1
SCREWDRIVERS,Dynamic screw transfer,,49.413.000.01-2,31.5
SCREWDRIVERS,Screwdrivers for straight screws**,,43.601.103.02-2,38.24
SCREWDRIVERS,**CLDESMN 1.27 and CLDESMNUG,,43.625.105.01-2,50.0
ACCESSORIES,Lab analog,,22.6xx.xxx.01-2,13.0
ACCESSORIES,Lab handle (MNLB),,49.601.000.03-2,45.0
ACCESSORIES,Clinical handle (MNCL80),,49.601.000.01-2,40.0
ACCESSORIES,Square wrench adaptor (MNADPCA),,49.604.000.05-2,43.0
ACCESSORIES,Straumann wrench adaptor (SPACC-STR),,49.604.000.07-2,77.25
ACCESSORIES,Nobel wrench adaptor,,49.604.000.08-2,77.25
ACCESSORIES,Torque wrench (CCUNI),,11.990.990.07-2,260.0
ACCESSORIES,Digital analog positioner,,49.309.000.01-2,64.0
MULTI-UNIT,DAS Angled Multi-unit 20º,,48.312.xxx.0x-2,102.0
MULTI-UNIT,DAS Multi-Unit ANG insertion tool,,49.422.000.01-2,45.0
MULTI-UNIT,DAS Straight Multi-Unit,,42.30x.xxx.xx-2,48.0
MULTI-UNIT,"DAS Multi-Unit Non-Engaging Dynamic Ti-Base, G0.5",,31.322.209.01-2,42.0
MULTI-UNIT,"DAS Multi-Unit Engaging Dynamic Ti-Base, G0.5",,31.312.209.01-2,42.0
MULTI-UNIT,"DAS Multi-Unit Dynamic Screw, M2 L4mm 25N·cm",,41.320.040.01-2,18.9
MULTI-UNIT,"DAS Multi-Unit Provisional Dynamic Screw, M2 L5mm 25N·cm",,41.320.050.02-2,18.9
MULTI-UNIT,DAS Multi-Unit Straight Screw Hex.1.20 M2 L4mm 25N·cm,,40.320.003.06-2,18.9
MULTI-UNIT,"DAS Multi-Unit Scanbody H4.5 with screw (Hex.1,20) 5N·cm",,53.412.209.01-2,32.9
MULTI-UNIT,"DAS Multi-Unit Scanbody H8, non-engaging, with screw (Hex.1,20) 5N·cm",,53.422.209.02-2,32.9
MULTI-UNIT,IO DAS Multi-Unit H8,,52.408.137.01-2,75.0
MULTI-UNIT,Adaptor IO DAS Multi-Unit. 5N·cm,,50.312.209.01-2,22.0
MULTI-UNIT,DAS Multi-Unit ScAnalog for impression post,,23.412.209.01-2,29.0
MULTI-UNIT,DAS Multi-Unit Digital Analog with screw,,34.312.209.01-2,29.0
MULTI-UNIT,"DAS Engaging Multi-Unit Impression Copy Pick up with screw Hex.1,20",,29.301.000.10-2,23.0
MULTI-UNIT,"DAS Non-Engaging Multi-Unit Impression Copy Pick up with screw Hex.1,21",,29.301.000.11-2,23.0
MULTI-UNIT,"Regular DAS Multi-Unit Healing cap. Hex1.20, 10N·cm",,40.320.003.88-2,19.0
MULTI-UNIT,"Wide DAS Multi-Unit Healing cap. Hex1.20, 10N·cm",,40.320.003.89-2,19.0
MULTI-UNIT,DAS Multi-Unit Screwdriver. L21mm,,43.321.316.01-2,38.0
MULTI-UNIT,DAS Multi-Unit Screwdriver square 4x4mm. L22mm,,43.322.316.01-2,72.0
MULTI-UNIT,DAS Multi-Unit Ratchet insertion tool,,49.409.000.01-2,5.0
MULTI-UNIT,DAS Multi-Unit Analog,,22.612.209.01-2,15.5
MULTI-UNIT,Screwdriver Hex1.20,,43.601.103.02-2,38.0
MULTI-UNIT,"DAS Dynamic Multi-unit Ti-base, non-engaging, G0,5, HC9",,31.322.209.21-2,44.0
MULTI-UNIT,DAS Straight Engaging Ti-base *SCREW not included,,35.312.209.21-2,12.5
DYNAMIC ABUTMENT,DYNAMIC ABUTMENT,CC external conection,21.2xx.yyy.01-2,85.0
DYNAMIC ABUTMENT,,CC internal connection,21.2xx.yyy.01-2,85.0
DYNAMIC ABUTMENT,,Plastic external connection,21.5xx.yyy.01-2,55.0
DYNAMIC ABUTMENT,,Plastic internal connection,21.5xx.yyy.01-2,60.0
NOVOX,Novox Pack,,,66.0
NOVOX,Mixer,,,30.0
NOVOX,Novox Base,,,51.0
NOVOX,Colour dye,,,6.8
DAS SURGICAL KIT AND COMPONENTS,DAS SURGICAL KIT,,CG_BOX63,4490.0
DAS SURGICAL KIT AND COMPONENTS,DAS SLEEVE,,71.340.485.01-2,10.0
DAS SURGICAL KIT AND COMPONENTS,DAS CUT SLEEVE,,71.340.485.02-2,14.0
DAS SURGICAL KIT AND COMPONENTS,SLEEVE GRIPPER,,79.300.003.01-2,50.0
DAS SURGICAL KIT AND COMPONENTS,IMPLANT MOUNTER,,75.XXX.XXX.XX-X,70.0
DAS SURGICAL KIT AND COMPONENTS,ANCHOR PIN,,79.300.004.01-2,35.0
DAS SURGICAL KIT AND COMPONENTS,EXTRACTOR,,79.300.001.01-2,50.0
DAS SURGICAL KIT AND COMPONENTS,SLEEVE LATERAL PIN,,71.340.153.01-2,12.5
DAS SURGICAL KIT AND COMPONENTS,DRILLS 2.0 to 4.5,,74.XXX.XXX.XX-X,80.0
DAS SURGICAL KIT AND COMPONENTS,DRILL ANCHOR PIN,,74.200.215.01-2,70.0
DAS SURGICAL KIT AND COMPONENTS,FLATTENING DRILL,,74.150.225.01-2,70.0
DAS SURGICAL KIT AND COMPONENTS,INITIAL DRILL,,74.030.XXX.XX.X,80.0
DAS SURGICAL KIT AND COMPONENTS,TISSUE PUNCH,,74.120.230.01-2,70.0
DAS SURGICAL KIT AND COMPONENTS,SHORT EXTENSION RATCHET,,79.600.009.01-2,45.0
DAS SURGICAL KIT AND COMPONENTS,LONG EXTENSION RATCHET,,79.600.010.01-2,50.0
DAS SURGICAL KIT AND COMPONENTS,BOX,,79.900.005.01-2,750.0
PHOTOGRAMMETRY CAMERA,Dynamic iGrapher,,11.140.010.01-2,12500.0
PHOTOGRAMMETRY CAMERA,QR scanbody,,F/REFENCIA,
PHOTOGRAMMETRY CAMERA,Gingival scanbody,,F/REFENCIA,
