ref_number,,,reference_num,section,missing,categories,name
22.612.006.01-2,,,22612006012,nase_kategorie,photo,ASTRA,Analog Comp.0006
22.612.109.01-2,,,22612109012,nase_kategorie,photo,ASTRA;CORTEX;SOUTHERN IMPLANTS,Scanbody H:3mm
22.613.007.01-2,,,22613007012,nase_kategorie,photo,ASTRA,Scanbody Scanalog H:3mm
22.614.059.01-2,,,22614059012,nase_kategorie,photo,BTI,Scanbody H:3mm
22.614.066.01-2,,,22614066012,nase_kategorie,photo,ASTRA,Analog 22.614.066.01-2
22.614.080.01-2,,,22614080012,nase_kategorie,photo,BIOHORIZONS;ZIMMER,Scanbody H:3mm
22.615.129.01-2,,,22615129012,nase_kategorie,photo,NOBEL BIOCARE;SOUTHERN IMPLANTS,Scanbody H:3mm
23.313.025.01-2,,,23313025012,nase_kategorie,photo,ACE;BIOHORIZONS;CORTEX;IMPLANTSWISS;JDENTALCARE;MEGAGEN;NEODENT;OSSTEM IMPLANT,TiScAnalog Comp.0025
23.413.004.02-2,,,23413004022,nase_kategorie,price,ASTRA;CORTEX;EUROTEKNIKA;IMPLANTSWISS;SOUTHERN IMPLANTS;UFIT,ScAnalog Comp.0004 (6f)
31.311.090.03-2,,,31311090032,nase_kategorie,photo,ASTRA,Standard Dynamic Tibase αS:20º GH:3mm
31.312.011.21-2,,,31312011212,nase_kategorie,photo,CAMLOG,Dynamic TiBase NR G0.3 HC9 Comp.0011
31.312.075.02-2,,,31312075022,nase_kategorie,photo,ANKYLOS,Standard Dynamic Tibase αS:20º αC:15º GH:2mm
31.312.075.03-2,,,31312075032,nase_kategorie,photo,ANKYLOS,Standard Dynamic Tibase αS:20º GH:3mm
31.312.075.04-2,,,31312075042,nase_kategorie,photo,ANKYLOS,Standard Dynamic Tibase αS:15º GH:4mm
31.312.110.01-2,,,31312110012,nase_kategorie,photo,ASTRA;CORTEX;SOUTHERN IMPLANTS,Standard Dynamic Tibase αS:45º αC:30º GH:0.4mm
31.312.236.01-2,,,31312236012,nase_kategorie,photo,ROOTT,Dynamic TiBase NR G1.5 Comp.0236
31.313.012.23-2,,,31313012232,nase_kategorie,photo,CAMLOG,Dynamic TiBase NR G2 HC9 Comp.0012
31.313.131.21-2,,,31313131212,nase_kategorie,photo,DENTAURUM,Dynamic TiBase NR G0.5 HC9 Comp.0131
31.313.261.01-2,,,31313261012,nase_kategorie,photo,STRAUMANN,Standard Dynamic Tibase αS:40º GH:0.5mm
31.314.085.21-2,,,31314085212,nase_kategorie,photo,XIVE,Dynamic TiBase NR G0.3 HC9 Comp.0085
31.314.262.01-2,,,31314262012,nase_kategorie,photo,STRAUMANN,Standard Dynamic Tibase αS:40º GH:0.5mm
31.315.092.21-2,,,31315092212,nase_kategorie,photo,ASTRA,Dynamic TiBase NR G1 HC9 Comp.0092
31.321.091.03-2,,,31321091032,nase_kategorie,photo,ASTRA,Standard Dynamic Tibase αS:20º GH:3mm
31.322.197.03-2,,,31322197032,nase_kategorie,photo,GC TECH,Dynamic TiBase R G3 Comp.0197
31.322.205.01-2,,,31322205012,nase_kategorie,photo,ZIMMER,Dynamic TiBase R G0.3 Comp.0205
31.322.251.01-2,,,31322251012,nase_kategorie,photo,BREDENT MEDICAL,Standard Dynamic Tibase αS:40º αC:25º GH:1mm
31.323.045.02-2,,,31323045022,nase_kategorie,photo,KEYSTONE,Standard Dynamic Tibase αS:25º GH:2mm
31.323.131.21-2,,,31323131212,nase_kategorie,photo,DENTAURUM,Dynamic 3tibase αS(CH=5mm):30º αS(CH=7mm):20º αS(CH=9mm):15º GH:0.5mm
31.323.247.01-2,,,31323247012,nase_kategorie,photo,DIO IMPLANTS,Dynamic TiBase R G0.3 Comp.0247
31.323.261.01-2,,,31323261012,nase_kategorie,photo,STRAUMANN,Standard Dynamic Tibase αS:40º GH:0.5mm
31.324.088.01-2,,,31324088012,nase_kategorie,photo,CAMLOG,Dynamic TiBase R G0.3 Comp.0088
31.324.262.01-2,,,31324262012,nase_kategorie,photo,STRAUMANN,Standard Dynamic Tibase αS:40º GH:0.5mm
33.615.604.01-2,,,33615604012,nase_kategorie,photo,MEGAGEN,Scanbody H:6mm
33.635.856.01-2,,,33635856012,nase_kategorie,photo,BIOHORIZONS,Scanbody Scanalog H:6mm
34.610.178.01-2,,,34610178012,nase_kategorie,photo,P-I BRANEMARK;ZIMMER,Digital analog. Comp.0178
34.610.260.01-2,,,34610260012,nase_kategorie,photo,STRAUMANN,Scanbody Scanalog H:3mm
34.612.251.01-2,,,34612251012,nase_kategorie,photo,BREDENT MEDICAL,Analog 34.612.251.01-2
34.613.223.01-2,,,34613223012,nase_kategorie,photo,MEGAGEN,Scanbody H:3mm
34.614.262.01-2,,,34614262012,nase_kategorie,photo,STRAUMANN,Scanbody H:3mm
40.314.003.08-2,,,40314003082,nase_kategorie,photo,MEDENTIS,Straight GH:1.20mm
40.314.005.04-2,,,40314005042,nase_kategorie,photo,ASTRA,Straight GH:1.27mm
40.316.004.01-2,,,40316004012,nase_kategorie,photo,LASAK,Screw Hex1.25 M1.6 L8.6mm 20N·cm
40.316.005.02-2,,,40316005022,nase_kategorie,photo,ASTRA;CORTEX;EUROTEKNIKA;IMPLANTSWISS;SOUTHERN IMPLANTS;UFIT,Screw Hex1.27 M1.6 L8.2mm 20N·cm
40.316.007.03-2,,,40316007032,nase_kategorie,photo,STRAUMANN,Straight 40.316.007.03-2
40.316.008.04-2,,,40316008042,nase_kategorie,photo,NEODENT,Screw 40.316.008.04-2
41.314.050.31-2,,,41314050312,nase_kategorie,photo,ACE;BIOHORIZONS;CORTEX;IMPLANTSWISS;JDENTALCARE;MEGAGEN;NEODENT;OSSTEM IMPLANT;STRAUMANN,Dynamic Dynamic GH:24mm
41.316.040.01-2,,,41316040012,nase_kategorie,photo,DIO IMPLANTS,Dynamic GH:24mm
41.316.075.01-2,,,41316075012,nase_kategorie,photo,ROOTT,Dynamic GH:24mm
41.316.118.01-2,,,41316118012,nase_kategorie,photo,ASTRA;CORTEX;EUROTEKNIKA;IMPLANTSWISS;SOUTHERN IMPLANTS;UFIT,Dynamic GH:24mm
41.317.052.36-2,,,41317052362,nase_kategorie,photo,ALPHABIO,Dynamic GH:24mm
41.318.077.01-2,,,41318077012,nase_kategorie,photo,ANKYLOS,Dynamic GH:24mm
42.300.159.02-2,,,42300159022,nase_kategorie,photo,NOBEL BIOCARE,DAS Multi-Unit straight G2 Comp.0159 30N·cm
42.302.016.01-2,,,42302016012,nase_kategorie,photo,MIS,Straight Multi-unit GH:1mm
42.302.016.03-2,,,42302016032,nase_kategorie,photo,MIS,Straight Multi-unit GH:3mm
42.302.016.04-2,,,42302016042,nase_kategorie,photo,MIS,Straight Multi-unit GH:4mm
42.302.019.01-2,,,42302019012,nase_kategorie,photo,MIS,Straight Multi-unit GH:1mm
42.302.033.01-2,,,42302033012,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:1mm
42.302.033.02-2,,,42302033022,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:2mm
42.302.033.03-2,,,42302033032,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:3mm
42.302.033.04-2,,,42302033042,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:4mm
42.302.040.02-2,,,42302040022,nase_kategorie,photo,ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT,Straight Multi-unit GH:2mm
42.302.040.03-2,,,42302040032,nase_kategorie,photo,ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT,Straight Multi-unit GH:3mm
